table,field,type,allowed_values,description_zh,description_en,notes
incidents_public,incident_id,string,,"事件唯一标识，格式 AHID-CN-YYYY-NNNN；不编码地理信息","Unique incident ID, format AHID-CN-YYYY-NNNN; encodes no geography","ID 终身稳定，地理归属可被更正"
incidents_public,first_detected_at,date,,"系统首次发现该事件线索的日期","Date the system first detected the incident",
incidents_public,last_updated_at,date,,"事件记录最后更新日期","Date of last record update",
incidents_public,event_date_start,date,,"声称的事件开始日期","Claimed event start date","可为空"
incidents_public,event_date_end,date,,"声称的事件结束日期","Claimed event end date","可为空"
incidents_public,date_precision,enum,"day|month|quarter|year|unknown","事件日期精度","Precision of the event date",
incidents_public,date_status,enum,"metadata_supported|officially_reported|multiple_sources_supported|claimed_only|unknown|contradicted","日期核验状态（PRD §19.1）","Date verification status (PRD §19.1)",
incidents_public,province,string,,"省级行政区（GB/T 2260 名称）","Province-level region","可为空"
incidents_public,city,string,,"市级行政区","City-level region","公开数据最细到区县，不含精确地址"
incidents_public,location_precision,enum,"district|city|province|unknown","公开地点精度","Public location precision","公开层无 exact 级"
incidents_public,location_status,enum,"exact_location_supported|district_supported|city_supported|province_supported|claimed_only|unknown|contradicted","地点核验状态（PRD §19.2）","Location verification status (PRD §19.2)",
incidents_public,animal_category,enum,"dog|cat|other_companion|livestock|wildlife|captive_wildlife|multiple|other|unknown","动物大类","Animal category",
incidents_public,species,string,,"物种（可得时）","Species when identifiable","可为空"
incidents_public,estimated_animal_count,string,,"估计动物数量，整数或区间（如 3 或 1-5）","Estimated animal count, integer or range",
incidents_public,juvenile_animal,enum,"yes|no|unknown","是否涉及幼年动物","Juvenile animal involved",
incidents_public,injury_status,enum,"injured|uninjured|unknown","动物受伤状态","Injury status",
incidents_public,mortality_status,enum,"dead|alive|partial|unknown","动物死亡状态；partial 指部分死亡","Mortality status; partial = some died",
incidents_public,rescue_status,enum,"rescued|not_rescued|partial|unknown","救助状态","Rescue status",
